ba_a,ba_b,evidence_status,curvature,gross_mwh,gross_share,net_direction,net_mwh,structural_priority_score,combined_priority,estimated_value_usd,evidence_source,mean_price_spread_usd_mwh,max_price_spread_usd_mwh,congestion_cost_usd,hours_observed,notes
CISO,SRP,price_spread_proxy,-0.03571428571428603,10099478.0,0.020210276826985188,SRP -> CISO,-9717954.0,360695.64285714604,141594694.35579255,141594681.56,EIA ICE daily wholesale prices 2023 (volume-weighted peak),14.02,0.0,0.0,3792.0,SP15 EZ Gen DA LMP Peak $64.85 vs Palo Verde Peak $78.87
BPAT,CISO,price_spread_proxy,-0.08529411764705852,5458963.0,0.010924045125725266,BPAT -> CISO,1141151.0,465617.4323529395,51696392.66112177,51696379.61000001,EIA ICE daily wholesale prices 2023 (volume-weighted peak),9.47,0.0,0.0,3904.0,Mid C Peak $82.66 vs NP15 EZ Gen DA LMP Peak $73.19; COI corridor; NP15 volume thin (99 trade days)
BPAT,NEVP,price_spread_proxy,-0.03431372549019618,569040.0,0.001138717855083961,BPAT -> NEVP,248586.0,19525.882352941233,2156671.4795473777,2156661.6,EIA ICE daily wholesale prices 2023 (volume-weighted peak),3.79,0.0,0.0,3888.0,Mid C Peak $82.66 vs Palo Verde Peak $78.87; NEVP approximated by Palo Verde; mapping approximate
PACW,CISO,price_spread_proxy,-0.15714285714285747,74572.0,0.0001492275901330682,PACW -> CISO,8458.0,11718.457142857167,706206.2090057433,706196.8400000001,EIA ICE daily wholesale prices 2023 (volume-weighted peak),9.47,0.0,0.0,1584.0,PACW approximated by Mid C Peak $82.66 vs NP15 $73.19; hub-to-BA mapping approximate
PJM,NYIS,structural_only,-0.10714285714285765,19294263.0,0.03861015355473399,NYIS -> PJM,-19294263.0,2067242.464285724,2067242.464285724,0.0,,,,,,
BPAT,NWMT,structural_only,-0.12184873949579811,7221314.0,0.014450722601166489,NWMT -> BPAT,-6997762.0,879908.0084033598,879908.0084033598,0.0,,,,,,
MISO,SOCO,structural_only,-0.15079365079365048,5355783.0,0.010717569467972624,SOCO -> MISO,-5239233.0,807618.0714285697,807618.0714285697,0.0,,,,,,
SOCO,FPL,structural_only,-0.20833333333333326,3527415.0,0.00705878399197067,FPL -> SOCO,-2810915.0,734878.1249999998,734878.1249999998,0.0,,,,,,
BPAT,LDWP,structural_only,-0.0980392156862746,6773556.0,0.013554704694944282,BPAT -> LDWP,6138562.0,664074.1176470595,664074.1176470595,0.0,,,,,,
BPAT,BANC,structural_only,-0.12745098039215708,3927078.0,0.007858557986973519,BANC -> BPAT,-1156038.0,500509.9411764714,500509.9411764714,0.0,,,,,,
TVA,SOCO,structural_only,-0.07936507936507908,5660484.0,0.011327313017041122,SOCO -> TVA,-3456874.0,449244.7619047603,449244.7619047603,0.0,,,,,,
MISO,SWPP,structural_only,-0.09523809523809534,3989884.0,0.007984240388221943,MISO -> SWPP,849274.0,379988.9523809528,379988.9523809528,0.0,,,,,,
BPAT,GRID,structural_only,-0.22794117647058787,1626752.0,0.003255327478197567,GRID -> BPAT,-1617598.0,370803.76470588177,370803.76470588177,0.0,,,,,,
CPLE,PJM,structural_only,-0.08571428571428563,4242136.0,0.008489027145533625,CPLE -> PJM,3029290.0,363611.6571428568,363611.6571428568,0.0,,,,,,
BPAT,SCL,structural_only,-0.044117647058823595,7798197.0,0.01560513524771928,BPAT -> SCL,7798197.0,344038.10294117697,344038.10294117697,0.0,,,,,,
BPAT,PSEI,structural_only,-0.01764705882352935,16049993.0,0.03211797694902395,BPAT -> PSEI,16049993.0,283235.17058823426,283235.17058823426,0.0,,,,,,
BPAT,DOPD,structural_only,-0.07352941176470607,2370212.0,0.004743080846222173,DOPD -> BPAT,-2052144.0,174280.29411764749,174280.29411764749,0.0,,,,,,
BPAT,TPWR,structural_only,-0.044117647058823595,3599272.0,0.007202578538773651,BPAT -> TPWR,3599272.0,158791.4117647061,158791.4117647061,0.0,,,,,,
WACM,WALC,structural_only,-0.0642857142857145,2222314.0,0.004447119062637174,WACM -> WALC,2207738.0,142863.04285714333,142863.04285714333,0.0,,,,,,
AECI,SWPP,structural_only,-0.04166666666666674,2800533.0,0.005604205206754974,SWPP -> AECI,-2095465.0,116688.8750000002,116688.8750000002,0.0,,,,,,
NWMT,WAUW,structural_only,-0.11904761904761929,494475.0,0.000989504272797416,WAUW -> NWMT,-92659.0,58866.07142857155,58866.07142857155,0.0,,,,,,
AECI,TVA,structural_only,-0.03571428571428581,1198856.0,0.002399055835924605,AECI -> TVA,1198716.0,42816.28571428583,42816.28571428583,0.0,,,,,,
SOCO,FPC,structural_only,-0.0952380952380949,419575.0,0.0008396203149986872,FPC -> SOCO,-81651.0,39959.52380952367,39959.52380952367,0.0,,,,,,
PNM,GRID,structural_only,-0.017857142857143016,2078483.0,0.0041592958378821815,PNM -> GRID,2073871.0,37115.76785714319,37115.76785714319,0.0,,,,,,
SPA,SWPP,structural_only,-2.220446049250313e-16,1512521.0,0.003026737433026585,SPA -> SWPP,595421.0,3.358471278858133e-10,3.358471278858133e-10,0.0,,,,,,
