ba_a,ba_b,curvature,gross_mwh,gross_share,net_direction,net_mwh,structural_priority_score,evidence_source,mean_price_spread_usd_mwh,max_price_spread_usd_mwh,congestion_cost_usd,hours_observed,notes
PJM,NYIS,-0.10714285714285743,19294263.0,0.03861015355473399,NYIS -> PJM,-19294263.0,2067242.46428572,,,,,,
BPAT,NWMT,-0.12184873949579811,7221314.0,0.014450722601166489,NWMT -> BPAT,-6997762.0,879908.0084033598,,,,,,
MISO,SOCO,-0.15079365079365092,5355783.0,0.010717569467972624,SOCO -> MISO,-5239233.0,807618.0714285722,,,,,,
SOCO,FPL,-0.20833333333333304,3527415.0,0.00705878399197067,FPL -> SOCO,-2810915.0,734878.124999999,,,,,,
BPAT,LDWP,-0.0980392156862746,6773556.0,0.013554704694944282,BPAT -> LDWP,6138562.0,664074.1176470595,,,,,,
BPAT,BANC,-0.12745098039215685,3927078.0,0.007858557986973519,BANC -> BPAT,-1156038.0,500509.94117647054,,,,,,
BPAT,CISO,-0.08529411764705874,5458963.0,0.010924045125725266,BPAT -> CISO,1141151.0,465617.4323529407,,,,,,
TVA,SOCO,-0.07936507936507953,5660484.0,0.011327313017041122,SOCO -> TVA,-3456874.0,449244.7619047628,,,,,,
MISO,SWPP,-0.09523809523809534,3989884.0,0.007984240388221943,MISO -> SWPP,849274.0,379988.9523809528,,,,,,
BPAT,GRID,-0.2279411764705881,1626752.0,0.003255327478197567,GRID -> BPAT,-1617598.0,370803.7647058821,,,,,,
CPLE,PJM,-0.08571428571428563,4242136.0,0.008489027145533625,CPLE -> PJM,3029290.0,363611.6571428568,,,,,,
CISO,SRP,-0.035714285714285365,10099478.0,0.020210276826985188,SRP -> CISO,-9717954.0,360695.64285713935,,,,,,
BPAT,SCL,-0.044117647058823595,7798197.0,0.01560513524771928,BPAT -> SCL,7798197.0,344038.10294117697,,,,,,
BPAT,PSEI,-0.01764705882352935,16049993.0,0.03211797694902395,BPAT -> PSEI,16049993.0,283235.17058823426,,,,,,
BPAT,DOPD,-0.07352941176470607,2370212.0,0.004743080846222173,DOPD -> BPAT,-2052144.0,174280.29411764749,,,,,,
BPAT,TPWR,-0.044117647058823595,3599272.0,0.007202578538773651,BPAT -> TPWR,3599272.0,158791.4117647061,,,,,,
WACM,WALC,-0.0642857142857145,2222314.0,0.004447119062637174,WACM -> WALC,2207738.0,142863.04285714333,,,,,,
AECI,SWPP,-0.04166666666666674,2800533.0,0.005604205206754974,SWPP -> AECI,-2095465.0,116688.8750000002,,,,,,
NWMT,WAUW,-0.11904761904761907,494475.0,0.000989504272797416,WAUW -> NWMT,-92659.0,58866.07142857144,,,,,,
AECI,TVA,-0.03571428571428603,1198856.0,0.002399055835924605,AECI -> TVA,1198716.0,42816.285714286096,,,,,,
SOCO,FPC,-0.0952380952380949,419575.0,0.0008396203149986872,FPC -> SOCO,-81651.0,39959.52380952367,,,,,,
PNM,GRID,-0.017857142857143016,2078483.0,0.0041592958378821815,PNM -> GRID,2073871.0,37115.76785714319,,,,,,
BPAT,NEVP,-0.03431372549019618,569040.0,0.001138717855083961,BPAT -> NEVP,248586.0,19525.882352941233,,,,,,
PACW,CISO,-0.15714285714285725,74572.0,0.0001492275901330682,PACW -> CISO,8458.0,11718.45714285715,,,,,,
SPA,SWPP,-2.220446049250313e-16,1512521.0,0.003026737433026585,SPA -> SWPP,595421.0,3.358471278858133e-10,,,,,,
