ba_a,ba_b,benchmark,intervention_mw,relief_mwh,residual_spread_usd_mwh,relief_value_usd,annual_cost_usd,benefit_cost_ratio,cost_per_relieved_dollar
MISO,SWPP,transmission_capacity,50.0,414814.8086688012,4.24719815586365,1966222.1930901178,7500000.0,0.26216295907868237,3.8144213946710614
MISO,SWPP,transmission_capacity,100.0,786502.7180365366,3.805631260584723,3728022.8834931836,15000000.0,0.24853485889954557,4.023580452366992
MISO,SWPP,transmission_capacity,250.0,1685360.2945978872,2.737784447769914,7988607.796393986,37500000.0,0.21302954123717296,4.694184638395603
MISO,SWPP,transmission_capacity,500.0,2658810.3375175106,1.5813214519938426,12602760.999833,75000000.0,0.16803681333110668,5.951076910924029
MISO,SWPP,transmission_capacity,1000.0,3545821.692686166,0.5275480030666486,16807194.82333243,150000000.0,0.11204796548888286,8.924749286047659
MISO,SWPP,grid_storage_4h,50.0,59551.112012057885,4.669253013135933,282272.27093715436,9375000.0,0.030109042233296465,33.212614079571665
MISO,SWPP,grid_storage_4h,100.0,118213.39243355542,4.599561962168561,560331.4801350527,18750000.0,0.029884345607202812,33.46233553660205
MISO,SWPP,grid_storage_4h,250.0,288998.9198574351,4.396667993324056,1369854.8801242425,46875000.0,0.02922357077598384,34.218953175352816
MISO,SWPP,grid_storage_4h,500.0,557064.8061533021,4.078204523949405,2640487.181166652,93750000.0,0.028165196599110955,35.50481163804712
MISO,SWPP,grid_storage_4h,1000.0,1036352.6147160431,3.5088084681775102,4912311.393754045,187500000.0,0.02619899410002157,38.1694043741617
MISO,SWPP,flexible_load,50.0,29887.49691355374,4.704493520270202,141666.73537024474,3500000.0,0.04047621010578421,24.705870371423337
MISO,SWPP,flexible_load,100.0,59551.112012057885,4.669253013135933,282272.27093715436,7000000.0,0.040324610133879196,24.798751846080176
MISO,SWPP,flexible_load,250.0,147215.37427912775,4.565107478291834,697800.8740830655,17500000.0,0.03987433566188946,25.07878773152241
MISO,SWPP,flexible_load,500.0,288998.9198574351,4.396667993324056,1369854.8801242425,35000000.0,0.03913871086069264,25.550151704263435
MISO,SWPP,flexible_load,1000.0,557064.8061533021,4.078204523949405,2640487.181166652,70000000.0,0.03772124544523789,26.510259356408522
PJM,NYIS,transmission_capacity,50.0,433065.877489364,1.4926704697823978,661266.9950907909,7500000.0,0.08816893267877213,11.341863506994269
PJM,NYIS,transmission_capacity,100.0,856411.4534442438,1.4591670057320336,1307691.6418895654,15000000.0,0.08717944279263769,11.470594075469934
PJM,NYIS,transmission_capacity,250.0,2070283.7495853675,1.3631014527998544,3161205.68540345,37500000.0,0.08429881827742533,11.862562494162429
PJM,NYIS,transmission_capacity,500.0,3918425.0517604733,1.216840007790644,5983212.472171194,75000000.0,0.07977616629561592,12.535072145412869
PJM,NYIS,transmission_capacity,1000.0,7041066.668503808,0.9697149234839116,10751308.842682462,150000000.0,0.07167539228454975,13.951789702524707
PJM,NYIS,grid_storage_4h,50.0,59906.80464913077,1.522202186403673,91474.28775843611,9375000.0,0.009757257360899852,102.48781630043794
PJM,NYIS,grid_storage_4h,100.0,119627.60451314486,1.5174758970907638,182664.5567757983,18750000.0,0.009742109694709242,102.64717102734753
PJM,NYIS,grid_storage_4h,250.0,297679.74170139537,1.5033848950437436,454540.0562045413,46875000.0,0.009696854532363547,103.12622476314041
PJM,NYIS,grid_storage_4h,500.0,590766.7592018498,1.480190061054262,902067.2834389416,93750000.0,0.00962205102334871,103.92794608690149
PJM,NYIS,grid_storage_4h,1000.0,1163444.9620396714,1.4348684498907875,1776514.3688107538,187500000.0,0.00947474330032402,105.54375652222701
PJM,NYIS,flexible_load,50.0,29976.689088322913,1.5245708483377278,45772.701444696555,3500000.0,0.01307791469848473,76.4647899191348
